eb,qb,pair,peak_C,peak_lag_tau_b,C_at_zero_lag
0.0,0.2,rmin1-rmin2,0.8855774619366733,130.0,-0.6124067292657773
0.0,0.2,mdot1-mdot2,0.9695080125510018,-640.0,0.9619980345229819
0.0,0.2,mdot1-rmin1,-0.09811114464238042,110.0,-0.09323892657018926
0.0,0.2,mdot1-rmin2,-0.05557460538643037,40.0,-0.04149552978490167
0.0,0.2,mdot2-rmin1,-0.10486119613304057,90.0,-0.08006010036866529
0.0,0.2,mdot2-rmin2,-0.06260486174732006,-470.0,-0.046679385128006325
0.0,0.2,lambda-alpha1,-0.09283742436864355,850.0,-0.004118904520573203
0.0,0.2,lambda-alpha2,0.08810683702866577,-510.0,0.04056820062934452
0.0,0.2,lambda-mass_disk1,-0.5024286764066843,-640.0,-0.4283645417192562
0.0,0.2,lambda-mass_disk2,-0.4666221852731611,-680.0,-0.26229029398640274
0.1,0.2,lambda-rmin1,-0.7865691232852524,110.0,0.012281694566501654
0.1,0.2,lambda-rmin2,-0.40829506220558975,240.0,-0.04463983804784909
0.1,0.2,lambda-mdot1,-0.5863777534246941,10.0,-0.5843985339319783
0.1,0.2,lambda-mdot2,-0.48198787410138766,160.0,0.18275052065604724
0.1,0.2,rmin1-rmin2,0.4720985401902777,120.0,0.11001642036524219
0.1,0.2,mdot1-mdot2,0.711646365531481,170.0,0.6562409627020281
0.1,0.2,mdot1-rmin1,0.6554564338898444,120.0,0.32631228605511536
0.1,0.2,mdot1-rmin2,0.5164173969351207,240.0,0.41895848365237387
0.1,0.2,mdot2-rmin1,0.6547495558944527,-50.0,0.4982822733069638
0.1,0.2,mdot2-rmin2,0.5671654852472516,60.0,0.44862262995125607
0.1,0.2,lambda-alpha1,0.2467825888395297,-280.0,0.016833158159594186
0.1,0.2,lambda-alpha2,-0.47809189053829787,80.0,-0.1726650952405489
0.1,0.2,lambda-mass_disk1,-0.6052456974457422,0.0,-0.6052456974457422
0.1,0.2,lambda-mass_disk2,-0.37102915189395846,-130.0,-0.113485920413883
0.2,0.2,lambda-rmin1,0.15621618855194302,10.0,-0.04299508419899621
0.2,0.2,lambda-rmin2,-0.16261704019062664,20.0,0.06976292511524185
0.2,0.2,lambda-mdot1,0.2320907634602928,-550.0,-0.08091019365999728
0.2,0.2,lambda-mdot2,0.22784952632949096,-990.0,0.1325028304192008
0.2,0.2,rmin1-rmin2,-0.5270613939496618,10.0,0.3459203620614157
0.2,0.2,mdot1-mdot2,0.9761484799576455,0.0,0.9761484799576455
0.2,0.2,mdot1-rmin1,0.07720647252789048,-690.0,0.010581329185008927
0.2,0.2,mdot1-rmin2,-0.21656219392287138,-230.0,-0.21515652807277644
0.2,0.2,mdot2-rmin1,0.0606654748000049,-700.0,0.005770251505434622
0.2,0.2,mdot2-rmin2,-0.21074611832130857,-30.0,-0.19904641495420858
0.2,0.2,lambda-alpha1,-0.1523115511602772,50.0,-0.015732584203786544
0.2,0.2,lambda-alpha2,-0.19172447304320822,-490.0,0.027963348801229006
0.2,0.2,lambda-mass_disk1,0.23787220936095763,-560.0,-0.07186860553563083
0.2,0.2,lambda-mass_disk2,0.22880889469809076,-990.0,0.11472489300439893
0.3,0.2,lambda-rmin1,-0.12633815041775853,-380.0,0.04947921807794289
0.3,0.2,lambda-rmin2,0.3201018149937622,680.0,0.10771751700097679
0.3,0.2,lambda-mdot1,-0.4545055909556024,0.0,-0.4545055909556024
0.3,0.2,lambda-mdot2,-0.2357074887833209,900.0,-0.15957287506350232
0.3,0.2,rmin1-rmin2,-0.15045170479252148,-20.0,0.011712211451385129
0.3,0.2,mdot1-mdot2,0.94806465268105,0.0,0.94806465268105
0.3,0.2,mdot1-rmin1,-0.09716116462331752,990.0,-0.02482145010671476
0.3,0.2,mdot1-rmin2,-0.6323433724230657,-1000.0,-0.4879788441846265
0.3,0.2,mdot2-rmin1,-0.1101544079941972,1000.0,-0.02049112968698222
0.3,0.2,mdot2-rmin2,-0.6706654664271179,-1000.0,-0.4976414497576045
0.3,0.2,lambda-alpha1,0.12745610757954906,0.0,0.12745610757954906
0.3,0.2,lambda-alpha2,0.2239641906670023,940.0,0.15739436093476467
0.3,0.2,lambda-mass_disk1,-0.46776555300754075,0.0,-0.46776555300754075
0.3,0.2,lambda-mass_disk2,-0.23978667171816198,750.0,-0.2094371162759007
