eb,qb,T_r2,conf_r2,T_lam,conf_lam,n_lam_peaks,n_r1_troughs,n_r2_troughs,phi_r1,phi_r2,lag_r1,lag_r2,n_matches_r1,n_matches_r2
0.2,0.9,2336.666666666667,33.214830623674025,701.0,6.919826338396695,81,74,71,30.81312410841655,10.271041369472183,60.0,20.0,79,81
0.3,0.9,259.6296296296296,11.823515213155327,304.7826086956522,15.865333717109396,77,80,74,69.32952924393723,55.46362339514979,50.0,40.0,77,77
0.4,0.9,778.8888888888889,45.52275741285186,778.8888888888889,114.81219178465356,25,53,49,36.975748930099854,36.975748930099854,80.0,80.0,24,25
0.5,0.9,368.9473684210526,508.52987423345013,368.9473684210526,416.59969018157835,18,18,19,29.272467902995725,214.66476462196866,30.0,220.0,18,18
0.6,0.9,368.9473684210526,719.428588720355,368.9473684210526,537.2739615192658,18,19,18,302.4821683309558,117.0898716119829,310.0,120.0,18,18
0.8,0.9,241.72413793103448,172.18795976421842,241.72413793103448,330.4162061447396,29,28,28,253.1811697574893,74.46504992867332,170.0,50.0,28,28
0.0,1.0,280.4,170.46989461320163,876.25,6.515871550183193,87,43,39,115.54921540656206,102.71041369472184,90.0,80.0,87,85
0.1,1.0,500.71428571428567,65.94456498396868,500.71428571428567,168.42721661837325,18,35,37,35.94864479315264,39.54350927246791,50.0,55.0,18,18
0.2,1.0,1752.5,31.413679288337644,52.70676691729323,7.05532559151314,81,85,69,341.5121255349501,136.60485021398003,50.0,20.0,51,62
0.3,1.0,1752.5,18.31353166257564,1752.5,97.81230830800924,33,54,58,18.487874465049927,8.216833095577746,90.0,40.0,33,33
0.4,1.0,710.0000000000001,35.896040554219944,621.25,149.72230302765612,17,40,37,30.4225352112676,45.6338028169014,60.0,90.0,17,17
0.5,1.0,368.9473684210526,544.9462555861827,368.9473684210526,427.4343213907021,18,18,19,19.51497860199715,195.1497860199715,20.0,200.0,18,18
0.6,1.0,368.9473684210526,678.7239851934463,368.9473684210526,579.2773414954081,18,18,19,321.99714693295294,136.60485021398003,330.0,140.0,17,18
0.8,1.0,241.72413793103448,212.19727495027166,241.72413793103448,319.75618632973584,28,27,28,253.1811697574893,74.46504992867332,170.0,50.0,27,28
