eb,qb,pair,peak_C,peak_lag_tau_b,C_at_zero_lag,found
0.0,0.9,lambda-rmin1,0.10133070786398157,-150.0,0.0033099252479403393,False
0.0,0.9,lambda-rmin2,-0.08743456450085482,110.0,0.06859387885986924,False
0.1,0.9,lambda-rmin1,-0.6482526916289116,-10.0,-0.6422097619045317,True
0.1,0.9,lambda-rmin2,0.6624301009506521,-10.0,0.6593799483526,True
0.2,0.9,lambda-rmin1,0.2971439514541861,-20.0,-0.05077530234041189,False
0.2,0.9,lambda-rmin2,0.29061598640290554,0.0,0.29061598640290554,False
0.3,0.9,lambda-rmin1,-0.23200913121784453,0.0,-0.23200913121784453,False
0.3,0.9,lambda-rmin2,-0.3076005795796233,0.0,-0.3076005795796233,True
0.4,0.9,lambda-rmin1,0.22302031678551762,-180.0,-0.10197034078726062,False
0.4,0.9,lambda-rmin2,-0.35261952557785187,-100.0,-0.08716856766566637,True
0.5,0.9,lambda-rmin1,-0.8575894623804087,30.0,-0.7224131435033739,True
0.5,0.9,lambda-rmin2,0.9026077845000694,30.0,0.6937380045785243,True
0.6,0.9,lambda-rmin1,-0.8637560530000834,50.0,-0.6149986826377275,True
0.6,0.9,lambda-rmin2,0.9580358807421883,50.0,0.5837393603166415,True
0.8,0.9,lambda-rmin1,0.8918415105961561,-50.0,0.19672874311245037,True
0.8,0.9,lambda-rmin2,-0.8215853657362189,-50.0,-0.20865358813811177,True
0.0,1.0,lambda-rmin1,-0.0725213632331912,-110.0,0.061318887941812526,False
0.0,1.0,lambda-rmin2,0.06857184682948311,150.0,-0.043036402029961326,False
0.1,1.0,lambda-rmin1,-0.6455234546966387,-10.0,-0.6039859516878154,True
0.1,1.0,lambda-rmin2,0.6570266829527236,0.0,0.6570266829527236,True
0.2,1.0,lambda-rmin1,0.26903329015605243,-20.0,-0.23171352471344095,False
0.2,1.0,lambda-rmin2,-0.398455167721057,-10.0,0.05167503574247305,True
0.3,1.0,lambda-rmin1,0.3223711784568147,10.0,0.30073762794694586,True
0.3,1.0,lambda-rmin2,-0.4105026058324766,0.0,-0.4105026058324766,True
0.4,1.0,lambda-rmin1,-0.09472159113575372,150.0,-0.011298188124181216,False
0.4,1.0,lambda-rmin2,-0.17588162256398762,-160.0,0.11127866806971627,False
0.5,1.0,lambda-rmin1,-0.8648390286967363,40.0,-0.715856129070517,True
0.5,1.0,lambda-rmin2,0.9159138158504523,30.0,0.7095292864289259,True
0.6,1.0,lambda-rmin1,-0.8813698083605733,50.0,-0.622191356580894,True
0.6,1.0,lambda-rmin2,0.9544640738845469,50.0,0.6023933516912935,True
0.8,1.0,lambda-rmin1,0.8499994430160737,-50.0,0.11190292367346508,True
0.8,1.0,lambda-rmin2,-0.7525915242156067,-60.0,-0.16709199416261208,True
