eb,qb,tau_lr1,pc_lr1,c0_lr1,tau_lr2,pc_lr2,c0_lr2,tau_r12,pc_r12,c0_r12
0.4,0.4,0.0,0.06174360369180476,0.06174360369180476,30.0,0.10424319963471261,0.07156086258943528,0.0,0.3296013482393075,0.3296013482393075
0.5,0.4,-150.0,-0.080228512709237,-0.03798811016392734,-140.0,-0.07687728715165326,0.03646548407688557,10.0,0.5847582292901938,0.3061223621031525
0.6,0.4,140.0,-0.09952218891320581,-0.04595158692712396,10.0,-0.16581186407073648,-0.12812321126193096,0.0,0.1992380793527127,0.1992380793527127
0.8,0.4,-70.0,0.6305965480555529,-0.5808312578619461,80.0,0.81844219015225,-0.09900084837024033,40.0,-0.5070567911930703,-0.4047252406588796
0.0,0.5,110.0,-0.07954177771454363,0.014030200099933067,-50.0,-0.07069759557740313,0.006149558220871496,160.0,0.7923298269799374,-0.1542061881635488
0.1,0.5,0.0,-0.7642056661427958,-0.7642056661427958,0.0,0.5005753603852622,0.5005753603852622,80.0,-0.34003483493319886,-0.15762323072868464
0.2,0.5,-10.0,-0.2858870658955762,-0.16438375010037126,0.0,0.30062894722152084,0.30062894722152084,150.0,-0.13319839228059852,0.05143207337769654
0.3,0.5,-10.0,-0.31708074474902326,-0.23855954556482073,0.0,-0.12699492812689997,-0.12699492812689997,0.0,0.6268754620644171,0.6268754620644171
0.4,0.5,-10.0,0.31476836292764027,0.3097840845105087,60.0,0.8724924904026603,0.8235499667212356,0.0,0.42380476009784024,0.42380476009784024
0.5,0.5,-200.0,-0.1393753268533482,0.008595124383497089,-140.0,-0.22461432479659688,-0.16833492550662316,0.0,0.2626914862827847,0.2626914862827847
0.6,0.5,60.0,-0.6539910187373563,-0.5986695550001423,50.0,0.8908256137445771,0.7281709576940624,20.0,-0.7286182232370019,-0.6935763091496974
0.8,0.5,-50.0,0.8762802692973772,-0.20524118269433697,-60.0,-0.7954299997670808,-0.10769273581657365,-10.0,-0.7546383856121713,-0.7535217786341402
0.0,0.6,200.0,0.12085729659480769,0.08150153832187577,140.0,-0.12239072047143058,0.05977803335432154,-110.0,0.6983809408837961,-0.14062924410569275
0.1,0.6,0.0,-0.7641918871278076,-0.7641918871278076,0.0,0.5042496676275328,0.5042496676275328,30.0,-0.300909815509951,-0.1662765678413771
0.2,0.6,20.0,0.42511238633298976,-0.2919773758836484,0.0,0.4915960029075899,0.4915960029075899,-20.0,0.3298542814965054,0.002565879691347247
0.3,0.6,-10.0,-0.21466102623394645,-0.13738600743822227,-30.0,-0.1574710123766706,0.06712386305670509,-20.0,0.19284427412345778,0.059418204716916265
0.4,0.6,-180.0,-0.12897263044813886,0.11545807958705814,90.0,0.7548716639950899,0.47255890672303236,-180.0,0.1974572644785971,0.12070700280253012
0.5,0.6,0.0,-0.19009757657505458,-0.19009757657505458,30.0,0.4381345318970498,0.3872802807734207,0.0,0.17967846938687132,0.17967846938687132
0.6,0.6,70.0,-0.7447798760678251,-0.6102399743501791,60.0,0.912345163644267,0.6228187778052672,-10.0,-0.861978212402407,-0.8562484565951823
0.8,0.6,-60.0,0.8595721991276996,-0.10802734181142852,80.0,0.8255154296814682,-0.1815098145447948,140.0,0.8749232442513073,-0.8183021160544163
0.0,0.7,-20.0,0.06236168967330691,0.015468229199476428,-160.0,0.06818021654799368,0.012093626088839793,-140.0,0.8777111454480908,-0.06672358343383424
0.1,0.7,0.0,-0.7494609123703759,-0.7494609123703759,-10.0,0.5352361753330465,0.5156276867866033,-200.0,0.3519632931072381,-0.16491930958032408
0.2,0.7,20.0,0.341736569160315,-0.11434373487067294,0.0,0.39181382699568146,0.39181382699568146,10.0,-0.29995097034020074,-0.08704381143625418
0.3,0.7,-10.0,-0.4476756378580613,-0.23951870121967941,0.0,0.45116832326020023,0.45116832326020023,10.0,-0.26153757309743453,-0.11369025332572548
0.4,0.7,60.0,-0.17796697615415413,-0.015610213345387761,-200.0,-0.5792078822214191,0.20333272651517387,50.0,-0.22356876024666622,0.11063974213591454
0.5,0.7,40.0,-0.5215432618646363,-0.396233086345749,40.0,0.6576373867104208,0.46270209593088746,10.0,-0.8081091691181009,-0.7794331663123091
0.6,0.7,70.0,-0.773691692046769,-0.6045238182915845,60.0,0.9237368952520029,0.5560499669924958,10.0,-0.9096589879071615,-0.9055336110103083
0.8,0.7,-60.0,0.8679627534091551,0.07867798281704261,-60.0,-0.7980535444919606,-0.19015874894632515,140.0,0.8479817229133584,-0.824476051772086
0.0,0.8,200.0,0.10321973406337022,0.030252203366700293,60.0,0.08361976845333471,-0.008737967259512409,150.0,0.8920708360350876,-0.11387017191278566
0.1,0.8,0.0,-0.6890832482846151,-0.6890832482846151,-10.0,0.6388111467316264,0.636817897385576,50.0,-0.3585274381157863,-0.23090188820034918
0.2,0.8,20.0,0.40002680249387085,-0.22320766082734186,0.0,0.390912090674274,0.390912090674274,10.0,-0.3139490748266571,-0.057640624356103475
0.3,0.8,-30.0,0.2832725842481774,-0.022899904683178558,-30.0,-0.18896185937269772,-0.07965026503377402,-20.0,0.19465269257918952,-0.049383120124246546
0.4,0.8,-80.0,0.20780208237742565,0.0038404753540100815,-200.0,-0.45145887498159315,0.0814747136669042,40.0,-0.18868245038882367,0.09888572504867194
0.5,0.8,40.0,-0.778723393000412,-0.6728761121585562,30.0,0.8822665965070842,0.6963709392464208,190.0,0.8885033607651617,-0.8547958466875428
0.6,0.8,-130.0,0.8919616819957775,-0.5933202297364065,-140.0,-0.9412679151554473,0.522068135063588,200.0,0.9279889166162988,-0.9231004870879834
0.8,0.8,-50.0,0.9061907325881232,0.21957816931956742,-50.0,-0.8323076407163568,-0.19186285352032562,-10.0,-0.875455295421234,-0.8379113486662874
0.0,0.9,-150.0,0.10133070786398157,0.0033099252479403393,110.0,-0.08743456450085482,0.06859387885986924,160.0,0.8443329104802841,-0.1505951176628021
0.1,0.9,-10.0,-0.6482526916289116,-0.6422097619045317,-10.0,0.6624301009506521,0.6593799483526,-200.0,0.37605950563820445,-0.19216101217507955
0.2,0.9,-20.0,0.2971439514541861,-0.05077530234041189,0.0,0.29061598640290554,0.29061598640290554,-10.0,0.22266138254946444,0.11364830623706261
0.3,0.9,0.0,-0.23200913121784453,-0.23200913121784453,0.0,-0.3076005795796233,-0.3076005795796233,0.0,0.23994856796797806,0.23994856796797806
0.4,0.9,-180.0,0.22302031678551762,-0.10197034078726062,-170.0,-0.4254213274226795,-0.08716856766566637,0.0,0.20433995844315342,0.20433995844315342
0.5,0.9,30.0,-0.8575894623804087,-0.7224131435033739,30.0,0.9026077845000694,0.6937380045785243,190.0,0.9706225068177449,-0.9334863208806681
0.6,0.9,-140.0,0.9342783893318011,-0.6149986826377275,50.0,0.9580358807421883,0.5837393603166415,190.0,0.970278006023194,-0.9350800439625879
0.8,0.9,-50.0,0.8918415105961561,0.19672874311245037,70.0,0.8774916890170786,-0.20865358813811177,120.0,0.9082639347206528,-0.8447817240396627
0.0,1.0,-110.0,-0.0725213632331912,0.061318887941812526,150.0,0.06857184682948311,-0.043036402029961326,160.0,0.799582057234322,-0.1356385366850456
0.1,1.0,-10.0,-0.6455234546966387,-0.6039859516878154,0.0,0.6570266829527236,0.6570266829527236,200.0,0.34267989172874375,-0.20849841552837323
0.2,1.0,-20.0,0.26903329015605243,-0.23171352471344095,-10.0,-0.398455167721057,0.05167503574247305,10.0,-0.2515947330656778,-0.11270465912240663
0.3,1.0,-70.0,0.38426625879843246,0.30073762794694586,0.0,-0.4105026058324766,-0.4105026058324766,40.0,-0.21159107055626772,0.10755295461976896
0.4,1.0,150.0,-0.09472159113575372,-0.011298188124181216,-160.0,-0.17588162256398762,0.11127866806971627,0.0,0.19160842751369722,0.19160842751369722
0.5,1.0,-160.0,0.903303640184014,-0.715856129070517,30.0,0.9159138158504523,0.7095292864289259,190.0,0.9864434371955512,-0.9305086867619697
0.6,1.0,-140.0,0.954983929392483,-0.622191356580894,50.0,0.9544640738845469,0.6023933516912935,180.0,0.9835725204423625,-0.9413928113084291
0.8,1.0,-50.0,0.8499994430160737,0.11190292367346508,70.0,0.8526926011958046,-0.16709199416261208,130.0,0.9053245600812664,-0.7893322178027544
